1747402680.348326,0.5
1747402687.3572059,0.5,1
1747402690.815454,0.5,0
1747402690.9167173,0.5,1
1747402691.4316041,0.6388888955116272,0
1747402691.5328674,0.6388888955116272,1
1747402691.933928,0.6851851940155029,0
1747402692.9407127,0.6851851940155029,1
1747402693.241098,0.7160493930180868,0
1747402693.4417922,0.7160493930180868,1
1747402693.8438356,0.7314814792739021,0
1747402694.6453576,0.7314814792739021,1
1747402694.7455432,0.7400548612629926,0
1747402695.1562765,0.7400548612629926,1
1747402695.3567982,0.7446273418120396,0
1747402695.5574713,0.7446273418120396,1
1747402695.9579656,0.7471041034278555,0
1747402696.1588776,0.7471041034278555,1
1747402696.7634814,0.748437740756978,0
1747402696.8641486,0.748437740756978,1
1747402697.1645179,0.7491574811782802,0
1747402697.4653327,0.7491574811782802,1
1747402697.766228,0.7495455717989592,0
1747402698.0722728,0.7495455717989592,1
1747402698.672925,0.7497549049042592,0
1747402699.1765594,0.7497549049042592,1
1747402699.2767894,0.7498678165006284,0
1747402699.5776384,0.7498678165006284,1
1747402699.6778293,0.7499286995108805,0
1747402700.1787512,0.7499286995108805,1
1747402700.49039,0.7499615505594638,0
1747402700.7911942,0.7499615505594638,1
1747402701.0915837,0.7499792561020661,0
1747402701.4925673,0.7499792561020661,1
1747402701.7970538,0.7499888137011465,0
1747402701.9734867,0.7499888137011465,1
1747402702.474086,0.7499939665207842,0
1747402702.9894388,0.7499939665207842,1
1747402703.1899052,0.7499967371427211,0
1747402703.3907602,0.7499967371427211,1
1747402703.7912471,0.7499982368615995,0
1747402703.8919857,0.7499982368615995,1
1747402704.3070312,0.7499990546593311,0
1747402704.4625745,0.7499990546593311,1
1747402704.8633807,0.7499994862042945,0
1747402705.1642377,0.7499994862042945,1
1747402705.3645816,0.7499997293936902,0
1747402705.8498478,0.7499997293936902,1
1747402706.1503386,0.749999850193252,0
1747402706.4512086,0.749999850193252,1
1747402706.751639,0.7499999103279875,0
1747402706.8525205,0.7499999103279875,1
1747402707.157059,0.7499999502411142,0
1747402707.3577693,0.7499999502411142,1
1747402707.558054,0.7499999635454898,0
1747402707.9589906,0.7499999635454898,1
1747402708.4775426,0.7499999878484966,0
1747402708.5782554,0.7499999878484966,1
1747402708.9787774,0.7499999959494988,0
1747402709.179488,0.7499999959494988,1
1747402709.9844577,0.7499999986498329,0
1747402710.1851413,0.7499999986498329,1
1747402710.4857202,0.7499999995499443,0
1747402710.6866362,0.7499999995499443,1
1747402710.8895345,0.7499999998499814,0
1747402711.2043087,0.7499999998499814,1
1747402711.404739,0.7499999999499938,0
1747402711.6054926,0.7499999999499938,1
1747402712.1063545,0.7499999999833312,0
1747402712.2072113,0.7499999999833312,1
1747402712.5127313,0.7499999999944437,0
1747402712.8136086,0.7499999999944437,1
1747402713.1141188,0.7499999999981478,0
1747402713.3151722,0.7499999999981478,1
1747402713.7238648,0.7499999999993826,0
1747402713.8246245,0.7499999999993826,1
1747402714.32537,0.7499999999997943,0
1747402714.5263817,0.7499999999997943,1
1747402714.841124,0.7499999999999315,0
1747402715.1420882,0.7499999999999315,1
1747402715.4424837,0.7499999999999772,0
1747402715.6432028,0.7499999999999772,1
1747402716.156454,0.7499999999999925,0
1747402716.55757,0.7499999999999925,1
1747402716.9582844,0.7499999999999974,0
1747402717.4613593,0.7499999999999974,1
1747402717.5616066,0.7499999999999991,0
1747402718.2628582,0.7499999999999991,1
1747402718.363075,0.7499999999999997,0
1747402718.6780684,0.7499999999999997,1
1747402718.87853,0.7499999999999999,0
1747402719.2794194,0.7499999999999999,1
1747402719.3796148,0.75,0
1747402719.8807266,0.75,1
1747402720.2864943,0.75,0
1747402720.6879404,0.75,1
1747402720.7882328,0.75,0
1747402721.0893872,0.75,1
1747402721.2897906,0.75,0
1747402721.6994562,0.75,1
1747402721.799737,0.75,0
1747402722.2008626,0.75,1
1747402722.6015081,0.75,0
1747402722.72473,0.75,1
1747402723.0289073,0.75,0
1747402723.1295238,0.75,1
1747402723.5300224,0.75,0
1747402723.6308374,0.75,1
1747402723.9403055,0.75,0
1747402724.3412113,0.75,1
1747402724.641616,0.75,0
1747402724.9426668,0.75,1
1747402725.148194,0.75,0
1747402725.6544025,0.75,1
1747402725.7545953,0.75,0
1747402726.155617,0.75,1
1747402726.25587,0.75,0
1747402727.362909,0.75,1
1747402727.4631956,0.75,0
1747402728.1807265,0.75,1
1747402728.2809954,0.75,0
1747402728.4819527,0.75,1
1747402728.682369,0.75,0
1747402728.9886322,0.75,1
1747402729.0940144,0.75,0
1747402729.3952441,0.75,1
1747402729.595703,0.75,0
1747402729.7966933,0.75,1
1747402729.9971216,0.75,0
1747402730.4046478,0.75,1
1747402730.7051172,0.75,0
1747402731.0059454,0.75,1
1747402731.506745,0.75,0
1747402731.6076555,0.75,1
1747402732.1083422,0.75,0
1747402732.50926,0.75,1
1747402732.7096784,0.75,0
1747402732.9146779,0.75,1
1747402733.2151487,0.75,0
1747402733.3157606,0.75,1
1747402733.8163674,0.75,0
